gene_id	gene_type	gene_name	level
ENSG00000270598.1	pseudogene	RP11-396C23.3	level 1
ENSG00000182827.8	protein_coding	ACBD3	level 2
ENSG00000234478.1	antisense	RP11-275I14.4	level 2
ENSG00000223570.2	pseudogene	RP11-275I14.2	level 1
ENSG00000185155.7	protein_coding	MIXL1	level 2
ENSG00000183814.11	protein_coding	LIN9	level 2
ENSG00000238545.1	snoRNA	snoU13	level 3
ENSG00000239094.1	snoRNA	snoU13	level 3
ENSG00000236994.1	pseudogene	YBX1P9	level 2
ENSG00000143799.8	protein_coding	PARP1	level 2
ENSG00000270287.1	pseudogene	RP11-118H4.3	level 1
ENSG00000229965.1	pseudogene	RP11-118H4.1	level 1
ENSG00000223282.1	misc_RNA	RN7SKP165	level 3
ENSG00000177770.10	pseudogene	CDKN2AIPNLP1	level 1
ENSG00000203685.5	protein_coding	C1orf95	level 2
ENSG00000143772.5	protein_coding	ITPKB	level 2
ENSG00000228382.1	sense_intronic	ITPKB-IT1	level 2
ENSG00000228548.1	antisense	ITPKB-AS1	level 2
ENSG00000238183.2	pseudogene	RPS27P5	level 1
ENSG00000143801.12	protein_coding	PSEN2	level 1
ENSG00000163050.12	protein_coding	ADCK3	level 2
ENSG00000228525.1	pseudogene	RP5-1087E8.2	level 2
ENSG00000143776.14	protein_coding	CDC42BPA	level 2
ENSG00000233706.1	antisense	RP5-1087E8.3	level 1
ENSG00000228625.1	antisense	RP11-1B20.1	level 2
ENSG00000228729.1	pseudogene	RP11-211A18.2	level 1
ENSG00000236636.2	pseudogene	RP11-211A18.1	level 1
ENSG00000234277.2	lincRNA	CTD-2090I13.1	level 2
ENSG00000232864.1	pseudogene	CTD-2090I13.2	level 1
ENSG00000242757.1	pseudogene	CTD-2090I13.3	level 1
ENSG00000224834.1	pseudogene	BTF3P9	level 1
ENSG00000237193.1	pseudogene	RP11-275O4.4	level 2
ENSG00000237469.2	pseudogene	TUBB8P10	level 1
ENSG00000235827.2	pseudogene	TUBB8P9	level 1
ENSG00000227711.1	lincRNA	RP11-275O4.3	level 2
ENSG00000202264.1	rRNA	RNA5SP77	level 3
ENSG00000181450.13	protein_coding	ZNF678	level 2
ENSG00000225934.2	pseudogene	RP4-566D2.1	level 1
ENSG00000265216.1	miRNA	AL592310.1	level 3
ENSG00000215812.4	pseudogene	ZNF847P	level 2
ENSG00000143740.10	protein_coding	SNAP47	level 2
ENSG00000081692.8	protein_coding	JMJD4	level 2
ENSG00000230005.2	antisense	SNAP47-AS1	level 2
ENSG00000185888.5	protein_coding	PRSS38	level 2
ENSG00000143816.7	protein_coding	WNT9A	level 2
ENSG00000264483.1	miRNA	MIR5008	level 3
ENSG00000233003.3	pseudogene	CICP26	level 1
ENSG00000154342.4	protein_coding	WNT3A	level 2
ENSG00000143761.9	protein_coding	ARF1	level 2
ENSG00000264944.1	miRNA	MIR3620	level 3
ENSG00000143793.8	protein_coding	C1orf35	level 2
ENSG00000162910.14	protein_coding	MRPL55	level 2
ENSG00000224566.2	pseudogene	FAM96AP2	level 1
ENSG00000227625.2	pseudogene	RP11-520H14.1	level 1
ENSG00000143774.12	protein_coding	GUK1	level 2
ENSG00000198835.3	protein_coding	GJC2	level 2
ENSG00000203684.5	protein_coding	IBA57-AS1	level 2
ENSG00000181873.8	protein_coding	IBA57	level 2
ENSG00000162913.9	protein_coding	C1orf145	level 1
ENSG00000154358.15	protein_coding	OBSCN	level 1
ENSG00000269890.1	antisense	RP5-1139B12.2	level 2
ENSG00000269934.1	antisense	RP5-1139B12.3	level 2
ENSG00000270110.1	antisense	RP5-1139B12.4	level 2
ENSG00000270104.1	lincRNA	RP11-245P10.6	level 2
ENSG00000154370.9	protein_coding	TRIM11	level 2
ENSG00000270094.1	antisense	RP11-245P10.8	level 2
ENSG00000231563.1	antisense	RP11-245P10.4	level 2
ENSG00000162931.7	protein_coding	TRIM17	level 2
ENSG00000168148.3	protein_coding	HIST3H3	level 2
ENSG00000230841.2	pseudogene	RP5-915N17.3	level 1
ENSG00000181218.4	protein_coding	HIST3H2A	level 2
ENSG00000196890.3	protein_coding	HIST3H2BB	level 2
ENSG00000266174.1	miRNA	MIR4666A	level 3
ENSG00000181201.2	pseudogene	HIST3H2BA	level 2
ENSG00000168159.9	protein_coding	RNF187	level 2
ENSG00000215811.3	pseudogene	BTNL10	level 2
ENSG00000202056.1	rRNA	RNA5SP19	level 3
ENSG00000183929.6	pseudogene	DUSP5P1	level 1
ENSG00000199352.1	rRNA	RNA5S1	level 3
ENSG00000201588.1	rRNA	RNA5S2	level 3
ENSG00000199337.1	rRNA	RNA5S3	level 3
ENSG00000200381.1	rRNA	RNA5S4	level 3
ENSG00000199396.1	rRNA	RNA5S5	level 3
ENSG00000200624.1	rRNA	RNA5S6	level 3
ENSG00000202521.1	rRNA	RNA5S7	level 3
ENSG00000200343.1	rRNA	RNA5S8	level 3
ENSG00000201321.1	rRNA	RNA5S9	level 3
ENSG00000199910.1	rRNA	RNA5S10	level 3
ENSG00000199334.1	rRNA	RNA5S11	level 3
ENSG00000199270.1	rRNA	RNA5S12	level 3
ENSG00000202526.1	rRNA	RNA5S13	level 3
ENSG00000201355.1	rRNA	RNA5S14	level 3
ENSG00000201925.1	rRNA	RNA5S15	level 3
ENSG00000202257.1	rRNA	RNA5S16	level 3
ENSG00000200370.1	rRNA	RNA5S17	level 3
ENSG00000212237.1	rRNA	RNA5SP18	level 3
ENSG00000206878.1	snoRNA	SNORA51	level 3
ENSG00000234975.5	pseudogene	FTH1P2	level 1
ENSG00000116574.4	protein_coding	RHOU	level 2
ENSG00000271475.1	pseudogene	RP4-799G3.1	level 1
ENSG00000271399.1	pseudogene	RP4-799G3.2	level 1
ENSG00000229840.2	pseudogene	ISCA1P2	level 1
ENSG00000236975.1	lincRNA	RP5-1065P14.2	level 2
ENSG00000233920.1	antisense	RP5-1061H20.5	level 2
ENSG00000177800.2	protein_coding	TMEM78	level 2
ENSG00000177788.5	lincRNA	RP5-1061H20.4	level 2
ENSG00000240524.2	pseudogene	RP5-1061H20.3	level 2
ENSG00000168118.7	protein_coding	RAB4A	level 2
ENSG00000213029.2	protein_coding	SPHAR	level 2
ENSG00000237481.1	antisense	RP4-803J11.2	level 2
ENSG00000154429.6	protein_coding	CCSAP	level 2
ENSG00000252506.1	snRNA	RNU6-180P	level 3
ENSG00000252051.1	misc_RNA	RN7SKP276	level 3
ENSG00000230331.1	pseudogene	RP5-1068B5.1	level 1
ENSG00000143632.10	protein_coding	ACTA1	level 2
ENSG00000226920.1	lincRNA	RP5-1068B5.3	level 2
ENSG00000069248.9	protein_coding	NUP133	level 2
ENSG00000223635.1	antisense	RP4-613A2.1	level 2
ENSG00000135776.4	protein_coding	ABCB10	level 2
ENSG00000199672.1	snRNA	RNU4-21P	level 3
ENSG00000201492.1	rRNA	RNA5SP78	level 3
ENSG00000229367.1	pseudogene	HMGN2P19	level 2
ENSG00000135801.5	protein_coding	TAF5L	level 2
ENSG00000135763.5	protein_coding	URB2	level 2
ENSG00000213028.3	pseudogene	RP11-108F13.2	level 1
ENSG00000225984.1	pseudogene	HMGB1P26	level 1
ENSG00000227043.1	lincRNA	RP11-286M16.1	level 2
ENSG00000228058.1	lincRNA	RP11-552D4.1	level 1
ENSG00000211525.2	miRNA	BX323860.1	level 3
ENSG00000143641.8	protein_coding	GALNT2	level 2
ENSG00000227006.1	antisense	RP5-956O18.2	level 1
ENSG00000224407.1	antisense	RP5-956O18.3	level 2
ENSG00000203257.1	pseudogene	AL691479.1	level 3
ENSG00000177614.5	protein_coding	PGBD5	level 1
ENSG00000232964.2	lincRNA	RP11-543E8.1	level 2
ENSG00000235817.2	pseudogene	RP11-543E8.2	level 1
ENSG00000135775.9	protein_coding	COG2	level 2
ENSG00000135744.7	protein_coding	AGT	level 2
ENSG00000244137.1	antisense	RP11-99J16__A.2	level 2
ENSG00000263779.1	misc_RNA	RN7SL467P	level 3
ENSG00000135773.8	protein_coding	CAPN9	level 2
ENSG00000202063.1	rRNA	RNA5SP79	level 3
ENSG00000225656.1	lincRNA	RP5-858B6.1	level 2
ENSG00000119280.12	protein_coding	C1orf198	level 1
ENSG00000223393.1	antisense	RP5-858B6.3	level 2
ENSG00000240502.2	misc_RNA	RN7SL837P	level 3
ENSG00000238985.1	snoRNA	snoU13	level 3
ENSG00000143643.8	protein_coding	TTC13	level 2
ENSG00000173409.9	protein_coding	ARV1	level 1
ENSG00000252131.1	miRNA	AL844165.1	level 3
ENSG00000182118.5	protein_coding	FAM89A	level 2
ENSG00000221290.1	miRNA	MIR1182	level 3
ENSG00000227934.1	pseudogene	RP11-423F24.3	level 1
ENSG00000229595.1	pseudogene	RP5-1097F14.1	level 1
ENSG00000119283.11	protein_coding	TRIM67	level 2
ENSG00000235710.3	antisense	RP5-1097F14.3	level 2
ENSG00000143633.8	protein_coding	C1orf131	level 2
ENSG00000116906.7	protein_coding	GNPAT	level 2
ENSG00000222407.1	rRNA	RNA5SP80	level 3
ENSG00000116903.6	protein_coding	EXOC8	level 2
ENSG00000010072.11	protein_coding	SPRTN	level 2
ENSG00000135766.8	protein_coding	EGLN1	level 2
ENSG00000223982.3	pseudogene	SNRPD2P2	level 1
ENSG00000233461.1	antisense	RP11-295G20.2	level 2
ENSG00000270106.1	protein_coding	TSNAX-DISC1	level 2
ENSG00000116918.9	protein_coding	TSNAX	level 2
ENSG00000229228.1	antisense	LINC00582	level 2
ENSG00000162946.16	protein_coding	DISC1	level 2
ENSG00000222986.1	snRNA	RNU5A-5P	level 3
ENSG00000226758.1	sense_intronic	DISC1-IT1	level 2
ENSG00000235152.1	lincRNA	RP5-865N13.2	level 2
ENSG00000236372.1	lincRNA	RP5-865N13.1	level 2
ENSG00000224436.1	pseudogene	RP11-284L19.1	level 2
ENSG00000242794.2	misc_RNA	RN7SL299P	level 3
ENSG00000116991.6	protein_coding	SIPA1L2	level 2
ENSG00000238382.1	snRNA	RNU6-1211P	level 3
ENSG00000225919.1	lincRNA	RP11-66A2.1	level 1
ENSG00000236497.1	lincRNA	RP11-66A2.2	level 2
ENSG00000212916.3	protein_coding	MAP10	level 2
ENSG00000206835.1	snRNA	RNU1-74P	level 3
ENSG00000232175.1	pseudogene	RP4-659I19.1	level 1
ENSG00000135778.7	protein_coding	NTPCR	level 2
ENSG00000135749.14	protein_coding	PCNXL2	level 1
ENSG00000231940.1	pseudogene	RPS7P3	level 1
ENSG00000251508.1	pseudogene	RP5-862P8.3	level 2
ENSG00000143674.6	protein_coding	MLK4	level 2
ENSG00000252501.1	snRNA	RNU4-77P	level 3
ENSG00000135750.10	protein_coding	KCNK1	level 2
ENSG00000265744.1	miRNA	MIR4427	level 3
ENSG00000225486.1	pseudogene	RP11-301G21.1	level 1
ENSG00000183780.8	protein_coding	SLC35F3	level 2
ENSG00000234453.1	antisense	RP11-488L4.1	level 2
ENSG00000236101.1	pseudogene	RAC1P7	level 1
ENSG00000233332.1	antisense	RP4-799P18.2	level 2
ENSG00000231272.1	sense_intronic	RP4-799P18.4	level 2
ENSG00000236244.1	antisense	RP4-799P18.3	level 2
ENSG00000232166.1	pseudogene	RP4-799P18.5	level 1
ENSG00000264377.1	miRNA	MIR4671	level 3
ENSG00000235605.1	pseudogene	RP5-827C21.1	level 1
ENSG00000236358.1	antisense	RP5-827C21.2	level 2
ENSG00000273367.1	antisense	RP5-827C21.6	level 2
ENSG00000231663.1	antisense	RP5-827C21.4	level 1
ENSG00000168275.10	protein_coding	COA6	level 2
ENSG00000059588.5	protein_coding	TARBP1	level 2
ENSG00000231768.1	lincRNA	RP5-855F14.1	level 2
ENSG00000230404.1	lincRNA	RP5-855F14.2	level 1
ENSG00000212144.1	snoRNA	U8	level 3
ENSG00000168264.6	protein_coding	IRF2BP2	level 2
ENSG00000228830.1	antisense	RP4-781K5.2	level 2
ENSG00000224939.1	lincRNA	LINC00184	level 2
ENSG00000272362.1	lincRNA	RP4-781K5.9	level 2
ENSG00000228044.2	lincRNA	RP4-781K5.4	level 2
ENSG00000241475.1	lincRNA	RP4-781K5.5	level 2
ENSG00000230628.1	lincRNA	RP4-781K5.6	level 2
ENSG00000224037.2	lincRNA	RP4-781K5.7	level 2
ENSG00000227630.2	lincRNA	RP4-781K5.8	level 2
ENSG00000201638.1	misc_RNA	RNY4P16	level 3
ENSG00000239690.2	misc_RNA	RN7SL668P	level 3
ENSG00000237520.1	lincRNA	RP11-443B7.2	level 1
ENSG00000238005.2	lincRNA	RP11-443B7.1	level 2
ENSG00000258082.1	lincRNA	RP11-443B7.3	level 2
ENSG00000233018.1	pseudogene	RP4-597N16.1	level 1
ENSG00000273416.1	lincRNA	RP4-597N16.4	level 2
ENSG00000173726.6	protein_coding	TOMM20	level 2
ENSG00000207181.1	snoRNA	SNORA14B	level 3
ENSG00000188739.10	protein_coding	RBM34	level 1
ENSG00000054267.16	protein_coding	ARID4B	level 2
ENSG00000232686.1	sense_intronic	ARID4B-IT1	level 2
ENSG00000263439.1	miRNA	MIR4753	level 3
ENSG00000236863.2	pseudogene	RPL23AP23	level 1
ENSG00000234086.2	pseudogene	AL391994.1	level 3
ENSG00000152904.7	protein_coding	GGPS1	level 1
ENSG00000227962.1	pseudogene	RP11-382D8.3	level 1
ENSG00000230026.2	pseudogene	RP11-382D8.5	level 2
ENSG00000116957.8	protein_coding	TBCE	level 2
ENSG00000243533.2	antisense	RP11-293G6__A.2	level 2
ENSG00000229795.2	pseudogene	RP11-293G6__A.3	level 2
ENSG00000162885.8	protein_coding	B3GALNT2	level 2
ENSG00000238236.1	pseudogene	RP4-534P7.2	level 2
ENSG00000235638.1	pseudogene	MTND6P14	level 2
ENSG00000231199.2	pseudogene	MTND5P19	level 2
ENSG00000226663.2	pseudogene	MTND4P10	level 2
ENSG00000231582.2	pseudogene	RP11-293G6__B.4	level 2
ENSG00000232714.1	pseudogene	MTND3P8	level 2
ENSG00000235761.2	pseudogene	RP11-293G6__B.2	level 2
ENSG00000168243.6	protein_coding	GNG4	level 2
ENSG00000270710.1	pseudogene	RP11-293G6__B.8	level 1
ENSG00000227236.2	pseudogene	RP11-365D9.1	level 1
ENSG00000143669.9	protein_coding	LYST	level 1
ENSG00000235674.2	pseudogene	LDHAP2	level 1
ENSG00000229463.2	antisense	LYST-AS1	level 2
ENSG00000222831.1	miRNA	MIR1537	level 3
ENSG00000252056.1	snRNA	RNU5E-2P	level 3
ENSG00000206803.1	snRNA	RNU6-968P	level 3
ENSG00000237845.1	lincRNA	RP5-940F7.2	level 2
ENSG00000229291.1	lincRNA	RP4-580N22.2	level 2
ENSG00000116962.10	protein_coding	NID1	level 2
ENSG00000252822.1	misc_RNA	Y_RNA	level 3
ENSG00000235371.1	pseudogene	RP4-764D2.1	level 1
ENSG00000077585.9	protein_coding	GPR137B	level 2
ENSG00000086619.9	protein_coding	ERO1LB	level 2
ENSG00000222650.1	snRNA	RNU2-70P	level 3
ENSG00000237922.1	pseudogene	RP11-478H16.1	level 1
ENSG00000252638.1	snoRNA	snoU13	level 3
ENSG00000186197.8	protein_coding	EDARADD	level 2
ENSG00000244457.2	pseudogene	ENO1P1	level 2
ENSG00000116977.14	protein_coding	LGALS8	level 2
ENSG00000223776.4	antisense	LGALS8-AS1	level 2
ENSG00000273058.1	antisense	RP11-385F5.5	level 2
ENSG00000230325.1	antisense	RP11-385F5.4	level 2
ENSG00000119285.6	protein_coding	HEATR1	level 2
ENSG00000077522.8	protein_coding	ACTN2	level 2
ENSG00000116984.8	protein_coding	MTR	level 2
ENSG00000226498.2	pseudogene	RP11-182B22.2	level 1
ENSG00000237991.2	pseudogene	RPL35P1	level 1
ENSG00000244020.2	protein_coding	MT1HL1	level 2
ENSG00000198626.11	protein_coding	RYR2	level 2
ENSG00000252396.1	misc_RNA	RN7SKP195	level 3
ENSG00000266262.1	miRNA	MIR4428	level 3
ENSG00000252290.1	snoRNA	SNORA25	level 3
ENSG00000237250.3	antisense	RP11-193H5.1	level 2
ENSG00000116996.5	protein_coding	ZP4	level 2
ENSG00000243781.1	pseudogene	RP11-193H5.2	level 1
ENSG00000270188.1	protein_coding	MTRNR2L11	level 2
ENSG00000232154.2	pseudogene	RP11-193H5.5	level 2
ENSG00000225723.1	pseudogene	MTND6P15	level 2
ENSG00000227860.1	pseudogene	MTND5P18	level 2
ENSG00000230019.1	pseudogene	YWHAQP9	level 1
ENSG00000232989.1	pseudogene	RP11-136B18.1	level 2
ENSG00000234464.1	lincRNA	RP11-136B18.2	level 2
ENSG00000252371.1	snRNA	RNU6-725P	level 3
ENSG00000215808.2	lincRNA	RP11-371I1.2	level 2
ENSG00000231877.1	lincRNA	RP11-177F15.1	level 2
ENSG00000215149.3	pseudogene	KRT18P32	level 1
ENSG00000224783.1	pseudogene	MIPEPP2	level 1
ENSG00000227854.1	pseudogene	RP11-307O1.1	level 1
ENSG00000259776.1	lincRNA	RP11-544D21.2	level 2
ENSG00000227185.2	lincRNA	RP11-544D21.1	level 2
ENSG00000133019.7	protein_coding	CHRM3	level 2
ENSG00000233355.2	processed_transcript	CHRM3-AS2	level 1
ENSG00000234601.1	antisense	CHRM3-AS1	level 1
ENSG00000231979.1	lincRNA	RP11-35L17.3	level 2
ENSG00000215805.3	pseudogene	RP11-438O11.1	level 1
ENSG00000217327.3	pseudogene	RPS7P5	level 1
ENSG00000155816.15	protein_coding	FMN2	level 2
ENSG00000228818.1	pseudogene	RP11-567G24.1	level 1
ENSG00000202041.1	misc_RNA	Y_RNA	level 3
ENSG00000223694.1	pseudogene	ADH5P3	level 1
ENSG00000233735.1	antisense	RP11-567G24.3	level 2
ENSG00000252317.1	misc_RNA	Y_RNA	level 3
ENSG00000233519.1	antisense	RP11-177F11.1	level 2
ENSG00000268365.1	protein_coding	AL646016.1	level 3
ENSG00000180875.4	protein_coding	GREM2	level 2
ENSG00000224359.1	lincRNA	RP11-467I20.2	level 2
ENSG00000226014.1	pseudogene	RP11-467I20.4	level 2
ENSG00000231440.1	sense_intronic	RP11-467I20.6	level 2
ENSG00000228844.1	pseudogene	RP11-467I20.3	level 1
ENSG00000251750.1	snRNA	RNU5F-8P	level 3
ENSG00000234872.2	pseudogene	RP11-467I20.5	level 1
ENSG00000199241.1	misc_RNA	Y_RNA	level 3
ENSG00000230015.2	lincRNA	RP11-80B9.4	level 2
ENSG00000226919.1	antisense	RP11-80B9.1	level 2
ENSG00000182901.11	protein_coding	RGS7	level 2
ENSG00000223963.2	pseudogene	PRKRIRP8	level 1
ENSG00000215802.3	pseudogene	RFKP1	level 1
ENSG00000233615.1	pseudogene	HNRNPA1P42	level 1
ENSG00000238085.1	pseudogene	RP11-435F13.2	level 1
ENSG00000265831.1	miRNA	MIR3123	level 3
ENSG00000224348.2	pseudogene	RP11-306K13.1	level 1
ENSG00000225554.1	lincRNA	RP11-527D7.1	level 2
ENSG00000091483.6	protein_coding	FH	level 2
ENSG00000117009.7	protein_coding	KMO	level 2
ENSG00000054277.8	protein_coding	OPN3	level 2
ENSG00000203668.1	protein_coding	CHML	level 2
ENSG00000162843.13	protein_coding	WDR64	level 2
ENSG00000229022.1	pseudogene	RP11-553N16.1	level 1
ENSG00000174371.12	protein_coding	EXO1	level 1
ENSG00000235990.2	pseudogene	RP11-323D18.5	level 1
ENSG00000196289.5	pseudogene	BECN1P1	level 1
ENSG00000213026.4	pseudogene	CFL1P4	level 1
ENSG00000197769.5	protein_coding	MAP1LC3C	level 2
ENSG00000223119.1	snRNA	RNU6-1139P	level 3
ENSG00000224625.2	pseudogene	TUBB8P6	level 1
ENSG00000180287.12	protein_coding	PLD5	level 2
ENSG00000222120.1	rRNA	RNA5SP81	level 3
ENSG00000272865.1	antisense	RP11-561I11.4	level 2
ENSG00000252084.1	misc_RNA	RN7SKP12	level 3
ENSG00000224525.2	antisense	RP11-561I11.3	level 2
ENSG00000226750.1	pseudogene	RP11-513D4.3	level 2
ENSG00000235467.1	pseudogene	RP11-513D4.2	level 1
ENSG00000213690.3	pseudogene	RP11-513D4.1	level 1
ENSG00000270859.1	pseudogene	RP11-435I3.1	level 1
ENSG00000215800.2	pseudogene	RSL24D1P4	level 1
ENSG00000270818.1	pseudogene	RP11-498M14.1	level 1
ENSG00000264972.1	miRNA	AL445675.1	level 3
ENSG00000230199.1	pseudogene	RP11-331N16.1	level 2
ENSG00000234116.1	lincRNA	RP11-261C10.1	level 2
ENSG00000231512.1	lincRNA	RP11-261C10.2	level 2
ENSG00000253326.2	pseudogene	RP11-261C10.7	level 1
ENSG00000214837.4	lincRNA	RP11-261C10.3	level 2
ENSG00000212230.1	snRNA	RNU6-747P	level 3
ENSG00000143702.11	protein_coding	CEP170	level 2
ENSG00000227230.1	antisense	RP11-261C10.5	level 2
ENSG00000232085.1	antisense	RP11-261C10.4	level 2
ENSG00000269795.1	protein_coding	AC092782.1	level 3
ENSG00000054282.11	protein_coding	SDCCAG8	level 2
ENSG00000224727.1	pseudogene	FCF1P7	level 1
ENSG00000265201.1	miRNA	MIR4677	level 3
ENSG00000117020.12	protein_coding	AKT3	level 2
ENSG00000236031.1	antisense	RP11-269F20.1	level 1
ENSG00000226766.1	pseudogene	FABP7P1	level 1
ENSG00000232184.1	sense_intronic	RP11-370K11.1	level 2
ENSG00000228939.1	sense_intronic	AKT3-IT1	level 2
ENSG00000226828.1	lincRNA	RP11-278H7.1	level 2
ENSG00000179456.9	protein_coding	ZBTB18	level 2
ENSG00000268146.1	protein_coding	AL590483.1	level 3
ENSG00000229960.1	lincRNA	RP11-278H7.4	level 2
ENSG00000244066.2	misc_RNA	RN7SL148P	level 3
ENSG00000237759.1	lincRNA	RP11-278H7.3	level 1
ENSG00000173728.6	protein_coding	C1orf100	level 2
ENSG00000240963.1	antisense	RP11-518L10.5	level 2
ENSG00000225401.2	pseudogene	TGIF2P1	level 1
ENSG00000035687.9	protein_coding	ADSS	level 2
ENSG00000179397.13	protein_coding	C1orf101	level 2
ENSG00000238952.1	miRNA	AC099757.1	level 3
ENSG00000227735.1	pseudogene	RP11-523K4.2	level 1
ENSG00000121644.14	protein_coding	DESI2	level 2
ENSG00000232059.2	pseudogene	RP11-173A6.2	level 1
ENSG00000203667.5	protein_coding	COX20	level 2
ENSG00000188206.5	antisense	HNRNPU-AS1	level 2
ENSG00000153187.12	protein_coding	HNRNPU	level 2
ENSG00000273175.1	lincRNA	RP11-11N7.4	level 2
ENSG00000201758.1	misc_RNA	RN7SKP55	level 3
ENSG00000252073.1	snRNA	RNU6-947P	level 3
ENSG00000272195.1	protein_coding	RP11-156E8.1	level 2
ENSG00000203666.8	protein_coding	EFCAB2	level 1
ENSG00000252282.1	snRNA	RNU6-1089P	level 3
ENSG00000251754.1	snRNA	RNU6-999P	level 3
ENSG00000223353.2	pseudogene	RP11-290P14.2	level 2
ENSG00000201170.1	snRNA	RNU1-132P	level 3
ENSG00000162849.11	protein_coding	KIF26B	level 2
ENSG00000232192.1	antisense	RP11-62I21.1	level 1
ENSG00000232793.2	pseudogene	DNAJC19P8	level 1
ENSG00000221165.1	miRNA	AL359983.1	level 3
ENSG00000238224.1	antisense	RP11-522M21.2	level 2
ENSG00000231612.1	antisense	RP11-522M21.3	level 1
ENSG00000185420.14	protein_coding	SMYD3	level 1
ENSG00000235096.1	antisense	RP11-83A16.1	level 1
ENSG00000226876.2	antisense	RP11-36N20.1	level 1
ENSG00000225222.2	pseudogene	CHCHD4P5	level 1
ENSG00000202184.1	snRNA	RNU6-1283P	level 3
ENSG00000230184.1	sense_intronic	SMYD3-IT1	level 2
ENSG00000207326.1	misc_RNA	Y_RNA	level 3
ENSG00000227728.2	pseudogene	RP11-690C23.4	level 2
ENSG00000242042.1	lincRNA	RP11-690C23.2	level 2
ENSG00000230813.1	pseudogene	RP11-690C23.5	level 2
ENSG00000229112.1	pseudogene	RP11-690C23.3	level 2
ENSG00000162851.6	protein_coding	TFB2M	level 2
ENSG00000162852.9	protein_coding	CNST	level 2
ENSG00000225300.1	sense_intronic	RP11-439E19.1	level 2
ENSG00000228955.2	pseudogene	RP11-452J6.2	level 1
ENSG00000260698.1	lincRNA	RP11-439E19.9	level 2
ENSG00000235021.1	lincRNA	RP11-439E19.7	level 1
ENSG00000143653.9	protein_coding	SCCPDH	level 2
ENSG00000228879.1	pseudogene	RP11-439E19.6	level 1
ENSG00000223519.3	pseudogene	RP11-439E19.8	level 1
ENSG00000260855.1	antisense	RP11-439E19.10	level 2
ENSG00000227953.2	processed_transcript	RP11-439E19.3	level 2
ENSG00000252495.1	snoRNA	SNORD112	level 3
ENSG00000235386.1	pseudogene	RP11-397A15.4	level 2
ENSG00000252011.1	snoRNA	SNORA25	level 3
ENSG00000153207.10	protein_coding	AHCTF1	level 1
ENSG00000135747.7	protein_coding	ZNF670	level 2
ENSG00000197472.10	protein_coding	ZNF695	level 2
ENSG00000236775.1	pseudogene	RP11-551G24.3	level 2
ENSG00000215796.3	pseudogene	RP11-551G24.2	level 1
ENSG00000228982.1	pseudogene	RP11-107G24.3	level 2
ENSG00000188295.10	protein_coding	ZNF669	level 2
ENSG00000221953.2	protein_coding	C1orf229	level 2
ENSG00000226164.2	pseudogene	FGFR3P6	level 2
ENSG00000196418.8	protein_coding	ZNF124	level 2
ENSG00000224014.1	pseudogene	RP11-488L18.6	level 1
ENSG00000215795.2	pseudogene	RP11-488L18.3	level 1
ENSG00000259865.1	lincRNA	RP11-488L18.10	level 2
ENSG00000227671.3	pseudogene	MIR3916	level 2
ENSG00000263568.1	miRNA	MIR3916	level 3
ENSG00000252516.1	rRNA	RNA5SP82	level 3
ENSG00000232347.1	lincRNA	RP11-488L18.8	level 2
ENSG00000214144.3	pseudogene	RP11-488L18.1	level 1
ENSG00000235818.3	pseudogene	VN1R17P	level 2
ENSG00000197617.6	pseudogene	VN1R5	level 2
ENSG00000202079.1	misc_RNA	Y_RNA	level 3
ENSG00000162714.8	protein_coding	ZNF496	level 2
ENSG00000162711.12	protein_coding	NLRP3	level 2
ENSG00000177535.6	protein_coding	OR2B11	level 2
ENSG00000203664.5	pseudogene	OR2W5	level 2
ENSG00000169224.8	protein_coding	GCSAML	level 1
ENSG00000227135.1	antisense	GCSAML-AS1	level 2
ENSG00000196242.6	protein_coding	OR2C3	level 2
ENSG00000236817.1	antisense	RP11-978I15.10	level 1
ENSG00000177489.1	protein_coding	OR2G2	level 2
ENSG00000177476.2	protein_coding	OR2G3	level 2
ENSG00000252394.1	snRNA	RNU6-691P	level 3
ENSG00000198452.5	pseudogene	OR14L1P	level 2
ENSG00000235749.2	antisense	RP11-634B7.4	level 2
ENSG00000230411.1	pseudogene	OR3D1P	level 2
ENSG00000197437.2	protein_coding	OR13G1	level 2
ENSG00000169214.2	protein_coding	OR6F1	level 2
ENSG00000239395.1	processed_transcript	RP11-634B7.5	level 2
ENSG00000241128.1	protein_coding	OR14A2	level 2
ENSG00000153230.4	protein_coding	OR14K1	level 2
ENSG00000221888.2	protein_coding	OR1C1	level 2
ENSG00000228336.1	pseudogene	OR9H1P	level 2
ENSG00000196772.3	protein_coding	OR14A16	level 2
ENSG00000232908.3	pseudogene	HSD17B7P1	level 1
ENSG00000230576.1	pseudogene	OR6R1P	level 2
ENSG00000197591.2	protein_coding	OR11L1	level 2
ENSG00000162722.8	protein_coding	TRIM58	level 2
ENSG00000238243.2	protein_coding	OR2W3	level 2
ENSG00000177462.6	protein_coding	OR2T8	level 2
ENSG00000177275.3	protein_coding	OR2AJ1	level 2
ENSG00000226191.3	pseudogene	RP11-438H8.8	level 1
ENSG00000196071.3	protein_coding	OR2L13	level 2
ENSG00000224830.2	pseudogene	OR2X1P	level 2
ENSG00000196936.3	protein_coding	OR2L8	level 2
ENSG00000187080.7	protein_coding	OR2AK2	level 2
ENSG00000237492.1	pseudogene	OR2L9P	level 2
